ID,probability
TEST_00000,0.0006408661
TEST_00001,0.002518702
TEST_00002,0.15393679
TEST_00003,0.13969983
TEST_00004,0.50516474
TEST_00005,0.14104679
TEST_00006,0.5631612
TEST_00007,0.37284014
TEST_00008,0.24424972
TEST_00009,0.0003251434
TEST_00010,0.07109966
TEST_00011,0.42814687
TEST_00012,0.33462745
TEST_00013,0.4553196
TEST_00014,0.36771348
TEST_00015,0.0011142679
TEST_00016,0.22096807
TEST_00017,0.37695846
TEST_00018,0.1784044
TEST_00019,0.6502553
TEST_00020,0.24726135
TEST_00021,0.46545124
TEST_00022,0.3282256
TEST_00023,0.16991767
TEST_00024,0.49433744
TEST_00025,0.000561498
TEST_00026,0.12005553
TEST_00027,0.28300694
TEST_00028,0.1779445
TEST_00029,0.23696834
TEST_00030,0.46934643
TEST_00031,0.19486728
TEST_00032,0.20323706
TEST_00033,0.18405533
TEST_00034,0.4227893
TEST_00035,0.0009282827
TEST_00036,0.12779294
TEST_00037,0.2813754
TEST_00038,0.2201746
TEST_00039,0.004218982
TEST_00040,0.20658825
TEST_00041,0.14492849
TEST_00042,0.33666852
TEST_00043,0.35829028
TEST_00044,0.31754863
TEST_00045,0.47019026
TEST_00046,0.53679603
TEST_00047,0.20775066
TEST_00048,0.13251537
TEST_00049,0.36542904
TEST_00050,0.2850747
TEST_00051,0.20853639
TEST_00052,0.1039843
TEST_00053,0.56852585
TEST_00054,0.0008062741
TEST_00055,0.41141504
TEST_00056,0.4264687
TEST_00057,0.19986844
TEST_00058,0.56490594
TEST_00059,0.13679567
TEST_00060,0.0032500543
TEST_00061,0.14507827
TEST_00062,0.31149003
TEST_00063,0.37109122
TEST_00064,0.15838186
TEST_00065,0.002273547
TEST_00066,0.25516444
TEST_00067,0.2160929
TEST_00068,0.30900517
TEST_00069,0.54358286
TEST_00070,0.3709182
TEST_00071,0.4192612
TEST_00072,0.2027121
TEST_00073,0.26721933
TEST_00074,0.17256072
TEST_00075,0.2705901
TEST_00076,0.010094617
TEST_00077,0.0012546165
TEST_00078,0.14414471
TEST_00079,0.16875891
TEST_00080,0.37090275
TEST_00081,0.0010324307
TEST_00082,0.24004726
TEST_00083,0.2246469
TEST_00084,0.44062787
TEST_00085,0.39789757
TEST_00086,0.00023513673
TEST_00087,0.42038873
TEST_00088,0.09824104
TEST_00089,0.4452676
TEST_00090,0.2522686
TEST_00091,0.102297574
TEST_00092,0.26412758
TEST_00093,0.57986224
TEST_00094,0.00029335913
TEST_00095,0.00082338724
TEST_00096,0.4512652
TEST_00097,0.13874674
TEST_00098,0.36389855
TEST_00099,0.32872579
TEST_00100,0.086218104
TEST_00101,0.21611002
TEST_00102,0.43877718
TEST_00103,0.3135338
TEST_00104,0.40678224
TEST_00105,0.6152294
TEST_00106,0.3028923
TEST_00107,0.00071183214
TEST_00108,0.37935737
TEST_00109,0.00079550437
TEST_00110,0.46728662
TEST_00111,0.3009577
TEST_00112,0.0159389
TEST_00113,0.3775323
TEST_00114,0.23727895
TEST_00115,0.4539344
TEST_00116,0.000802631
TEST_00117,0.4594722
TEST_00118,0.36030623
TEST_00119,0.14696193
TEST_00120,0.0013255709
TEST_00121,0.0010348605
TEST_00122,0.29519773
TEST_00123,0.6026504
TEST_00124,0.4288513
TEST_00125,0.36675796
TEST_00126,0.0021093856
TEST_00127,0.045909617
TEST_00128,0.28971606
TEST_00129,0.46628413
TEST_00130,0.19159949
TEST_00131,0.45726526
TEST_00132,0.0012420027
TEST_00133,0.29498583
TEST_00134,0.43391418
TEST_00135,0.001375029
TEST_00136,0.14490445
TEST_00137,0.17356406
TEST_00138,0.0781232
TEST_00139,0.27525303
TEST_00140,0.01831355
TEST_00141,0.0006187951
TEST_00142,0.32072318
TEST_00143,0.0022745046
TEST_00144,0.15016925
TEST_00145,0.6502034
TEST_00146,0.22677968
TEST_00147,0.2508528
TEST_00148,0.29918957
TEST_00149,0.45287412
TEST_00150,0.0020193213
TEST_00151,0.00097167934
TEST_00152,0.2896418
TEST_00153,0.27688128
TEST_00154,0.025779897
TEST_00155,0.24564518
TEST_00156,0.3411153
TEST_00157,0.29359066
TEST_00158,0.4516299
TEST_00159,0.42191502
TEST_00160,0.5119974
TEST_00161,0.551558
TEST_00162,0.38739172
TEST_00163,0.0011360478
TEST_00164,0.576753
TEST_00165,0.2695564
TEST_00166,0.4668435
TEST_00167,0.23176244
TEST_00168,0.44504195
TEST_00169,0.26149142
TEST_00170,0.2455547
TEST_00171,0.27697012
TEST_00172,0.26212576
TEST_00173,0.23597045
TEST_00174,0.15903151
TEST_00175,0.27505726
